seq	batch	kind	status	action	path	notes
17	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/character_portrait.py	第七轮复核：移除零引用无效导入 ResourceNotFoundError。
18	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/__init__.py	已逐文件读取并完成首轮复核；py 文件 24 行，顶层符号 0，导入语句 6。
19	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/files.py	已逐文件读取并完成首轮复核；py 文件 36 行，顶层符号 0，导入语句 10。
20	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/files_agent_state.py	已逐文件读取并完成首轮复核；py 文件 136 行，顶层符号 5，导入语句 10。
21	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/files_dependencies.py	已逐文件读取并完成首轮复核；py 文件 38 行，顶层符号 2，导入语句 4。
22	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/files_directory_crud.py	已逐文件读取并完成首轮复核；py 文件 165 行，顶层符号 6，导入语句 10。
23	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/files_directory_structure.py	已逐文件读取并完成首轮复核；py 文件 113 行，顶层符号 2，导入语句 13。
24	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/files_plan_agent.py	已逐文件读取并完成首轮复核；py 文件 219 行，顶层符号 3，导入语句 14。
25	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/coding/files_plan_v2.py	第六轮复核：移除零引用无效导入 Any、Dict、Tuple。
26	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/files_planning_context.py	已逐文件读取并完成首轮复核；py 文件 124 行，顶层符号 4，导入语句 4。
27	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/files_prompt_generation.py	已逐文件读取并完成首轮复核；py 文件 145 行，顶层符号 3，导入语句 13。
28	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/files_review_prompt.py	已逐文件读取并完成首轮复核；py 文件 137 行，顶层符号 3，导入语句 13。
29	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/files_source_files.py	已逐文件读取并完成首轮复核；py 文件 140 行，顶层符号 5，导入语句 9。
30	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/files_versions.py	已逐文件读取并完成首轮复核；py 文件 64 行，顶层符号 2，导入语句 8。
31	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/hierarchy.py	已逐文件读取并完成首轮复核；py 文件 23 行，顶层符号 0，导入语句 5。
32	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/hierarchy_dependencies.py	已逐文件读取并完成首轮复核；py 文件 231 行，顶层符号 6，导入语句 11。
33	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/hierarchy_generation.py	已逐文件读取并完成首轮复核；py 文件 551 行，顶层符号 7，导入语句 23。
34	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/hierarchy_modules.py	已逐文件读取并完成首轮复核；py 文件 191 行，顶层符号 7，导入语句 14。
35	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/hierarchy_systems.py	已逐文件读取并完成首轮复核；py 文件 191 行，顶层符号 7，导入语句 15。
36	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/coding/inspiration.py	已逐文件读取并完成首轮复核；py 文件 35 行，顶层符号 0，导入语句 4。
37	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/coding/projects.py	第六轮复核：移除零引用无效导入 Optional。
38	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/coding/rag.py	第八轮复核：移除零引用无效导入 CompletenessReport。
39	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/embedding_config.py	已逐文件读取并完成首轮复核；py 文件 376 行，顶层符号 14，导入语句 14。
40	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/image_generation.py	第六轮复核：移除零引用无效导入 Path。
41	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/inspiration_helpers.py	已逐文件读取并完成首轮复核；py 文件 330 行，顶层符号 4，导入语句 4。
42	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/inspiration_router_registry.py	第六轮复核：移除零引用无效导入 Callable。
43	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/llm_config.py	移除与死 schema 对应的无效导入 LLMConfigTestRequest，并继续移除零引用无效导入 AsyncSession、get_session。
44	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/novels/__init__.py	已逐文件读取并完成首轮复核；py 文件 181 行，顶层符号 7，导入语句 16。
45	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/novels/blueprints.py	第八轮复核：移除零引用无效导入 Any、Dict、List、PromptTemplateNotFoundError、PartOutline、ChapterOutline、PartOutlineRepository、ChapterIngestionService。
46	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/novels/export.py	第七轮复核：移除零引用无效导入 AsyncSession、get_session。
47	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/novels/import_analysis.py	第七轮复核：移除零引用无效导入 ResourceNotFoundError。第十六轮复核：移除函数内零引用无效导入 select。
48	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/novels/inspiration.py	已逐文件读取并完成首轮复核；py 文件 32 行，顶层符号 0，导入语句 4。
49	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/novels/outlines.py	第六轮复核：移除零引用无效导入 PromptTemplateNotFoundError。第七轮复核：确认 AsyncSession、get_session 仍被端点参数使用，保留。第十六轮复核：移除函数内零引用无效导入 StreamingResponse。
50	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/novels/rag.py	已逐文件读取并完成首轮复核；py 文件 507 行，顶层符号 10，导入语句 15。
51	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/prompts.py	已逐文件读取并完成首轮复核；py 文件 299 行，顶层符号 19，导入语句 8。
52	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/protagonist.py	二轮复核：get_analysis_service()、get_sync_service() 均被 Depends 使用，保留。三轮复核：移除与死 schema 对应的无效导入 ChangeHistoryQuery、BehaviorRecordQuery、DeletionMarkQuery、ImplicitStatsQuery。
53	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/queue.py	已逐文件读取并完成首轮复核；py 文件 93 行，顶层符号 3，导入语句 6。
54	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/rag_helpers.py	已逐文件读取并完成首轮复核；py 文件 51 行，顶层符号 2，导入语句 1。
55	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/rag_schemas.py	已逐文件读取并完成首轮复核；py 文件 29 行，顶层符号 2，导入语句 1。
56	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/settings.py	已逐文件读取并完成首轮复核；py 文件 26 行，顶层符号 0，导入语句 7。
57	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/settings_advanced.py	已逐文件读取并完成首轮复核；py 文件 221 行，顶层符号 7，导入语句 9。
58	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/settings_all.py	已逐文件读取并完成首轮复核；py 文件 376 行，顶层符号 3，导入语句 16。
59	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/settings_max_tokens.py	已逐文件读取并完成首轮复核；py 文件 217 行，顶层符号 7，导入语句 9。
60	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/settings_models.py	已逐文件读取并完成首轮复核；py 文件 21 行，顶层符号 1，导入语句 2。
61	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/settings_queue.py	已逐文件读取并完成首轮复核；py 文件 125 行，顶层符号 3，导入语句 8。
62	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/settings_temperature.py	已逐文件读取并完成首轮复核；py 文件 185 行，顶层符号 7，导入语句 9。
63	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/settings_utils.py	已逐文件读取并完成首轮复核；py 文件 102 行，顶层符号 6，导入语句 6。
64	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/theme_config.py	已逐文件读取并完成首轮复核；py 文件 288 行，顶层符号 21，导入语句 7。
65	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/writer/__init__.py	已逐文件读取并完成首轮复核；py 文件 41 行，顶层符号 0，导入语句 10。
66	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/writer/chapter_generation.py	第六轮复核：移除零引用无效导入 Dict。
67	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/writer/chapter_management.py	第八轮复核：移除零引用无效导入 settings、remove_think_tags。
68	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/writer/chapter_outlines.py	第八轮复核：移除零引用无效导入 List、PromptTemplateNotFoundError、sse_complete_event、sse_error_event、track_saved_items。
69	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/writer/character_state.py	移除零引用响应模型 CharacterStateResponse。
70	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/writer/content_optimization.py	已逐文件读取并完成首轮复核；py 文件 269 行，顶层符号 7，导入语句 16。
71	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/writer/manga_prompt_v2.py	第六轮复核：移除零引用无效导入 MangaStyle。
72	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/writer/part_outlines.py	第七轮复核：移除零引用无效导入 asyncio、ProjectStatus。
73	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/api/routers/writer/project_workflow.py	已逐文件读取并完成首轮复核；py 文件 509 行，顶层符号 11，导入语句 17。
74	backend	code	reviewed-dead-code-cleaned	edited	backend/app/api/routers/writer/rag_query.py	第七轮复核：移除零引用无效导入 RetrievedChunk、RetrievedSummary。
75	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/core/__init__.py	已逐文件读取并完成首轮复核；py 文件 0 行，顶层符号 0，导入语句 0。
76	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/core/config.py	已逐文件读取并完成首轮复核；py 文件 749 行，顶层符号 9，导入语句 9。
77	backend	code	reviewed-dead-code-cleaned	edited	backend/app/core/constants.py	移除零引用常量类 VectorConstants、HTTPConstants、ChapterConstants。
78	backend	code	reviewed-dead-code-cleaned	edited	backend/app/core/dependencies.py	移除零引用依赖注入函数 get_chapter_generation_service()。第十六轮复核：移除仅在文档示例中出现的零引用依赖注入函数 get_vector_ingestion_service()、get_part_outline_service()、get_avatar_service()。第四十五轮复核：移除 JWT 解码局部导入中的零引用 `JWTError`。
79	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/core/logging_config.py	已逐文件读取并完成首轮复核；py 文件 446 行，顶层符号 11，导入语句 8。
80	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/core/security.py	已逐文件读取并完成首轮复核；py 文件 26 行，顶层符号 2，导入语句 1。
81	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/core/state_machine.py	已逐文件读取并完成首轮复核；py 文件 255 行，顶层符号 3，导入语句 4。
82	backend	code	reviewed-dead-code-cleaned	edited	backend/app/core/state_validators.py	移除零引用状态常量 PART_OUTLINE_STATES/WRITING_STATES 与 8 个便捷判断函数。
83	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/db/__init__.py	已逐文件读取并完成首轮复核；py 文件 0 行，顶层符号 0，导入语句 0。
84	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/db/base.py	已逐文件读取并完成首轮复核；py 文件 9 行，顶层符号 1，导入语句 1。
85	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/db/init_db.py	第十六轮复核：`from ..models import ...` 虽未在本文件直接读取，但依赖 `models/__init__.py` 的导入副作用注册 SQLAlchemy 元数据以供 `Base.metadata.create_all()` 使用，判定保留。
86	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/db/session.py	已逐文件读取并完成首轮复核；py 文件 46 行，顶层符号 1，导入语句 5。
87	backend	code	reviewed-dead-code-cleaned	edited	backend/app/exceptions.py	移除零引用异常 VectorStoreError、DailyLimitExceededError。
88	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/main.py	已逐文件读取并完成首轮复核；py 文件 162 行，顶层符号 6，导入语句 16。
89	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/__init__.py	已逐文件读取并完成首轮复核；py 文件 84 行，顶层符号 0，导入语句 12。
90	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/character_portrait.py	已逐文件读取并完成首轮复核；py 文件 94 行，顶层符号 1，导入语句 5。
91	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/coding.py	已逐文件读取并完成首轮复核；py 文件 192 行，顶层符号 5，导入语句 7。
92	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/coding_files.py	已逐文件读取并完成首轮复核；py 文件 259 行，顶层符号 4，导入语句 7。
93	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/embedding_config.py	已逐文件读取并完成首轮复核；py 文件 38 行，顶层符号 1，导入语句 4。
94	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/image_config.py	已逐文件读取并完成首轮复核；py 文件 118 行，顶层符号 2，导入语句 6。
95	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/llm_config.py	已逐文件读取并完成首轮复核；py 文件 23 行，顶层符号 1，导入语句 4。
96	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/mixins.py	已逐文件读取并完成首轮复核；py 文件 38 行，顶层符号 3，导入语句 3。
97	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/novel.py	已逐文件读取并完成首轮复核；py 文件 457 行，顶层符号 13，导入语句 8。
98	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/part_outline.py	已逐文件读取并完成首轮复核；py 文件 55 行，顶层符号 1，导入语句 6。
99	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/prompt.py	已逐文件读取并完成首轮复核；py 文件 27 行，顶层符号 1，导入语句 5。
100	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/models/protagonist.py	已逐文件读取并完成首轮复核；py 文件 278 行，顶层符号 5，导入语句 7。
101	backend	code	reviewed-dead-code-cleaned	edited	backend/app/models/theme_config.py	第九轮复核：移除零引用无效导入 Text。
102	backend	code	reviewed-dead-code-cleaned	edited	backend/app/models/user.py	第九轮复核：移除零引用无效导入 ForeignKey、Optional。
103	backend	code	reviewed-dead-code-cleaned	edited	backend/app/repositories/__init__.py	第二十八轮复核：当前仓库无任何包级导入点，移除整组仓储聚合导出并保留空包入口。
104	backend	code	reviewed-dead-code-cleaned	edited	backend/app/repositories/base.py	第九轮复核：移除零引用无效导入 Union。
105	backend	code	reviewed-dead-code-cleaned	edited	backend/app/repositories/blueprint_repository.py	第九轮复核：移除零引用无效导入 Iterable。
106	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/repositories/chapter_evaluation_repository.py	已逐文件读取并完成首轮复核；py 文件 32 行，顶层符号 1，导入语句 4。
107	backend	code	reviewed-dead-code-cleaned	edited	backend/app/repositories/chapter_outline_repository.py	第十二轮复核：移除零引用无效导入 delete、func。
108	backend	code	reviewed-dead-code-cleaned	edited	backend/app/repositories/chapter_repository.py	第十六轮复核：移除零引用无效导入 delete、ChapterVersion、ChapterEvaluation、ChapterOutline；向后兼容导出的 ChapterVersionRepository、ChapterEvaluationRepository、ChapterOutlineRepository 保留。
109	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/repositories/chapter_version_repository.py	已逐文件读取并完成首轮复核；py 文件 77 行，顶层符号 1，导入语句 4。
110	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/repositories/character_portrait_repository.py	已逐文件读取并完成首轮复核；py 文件 223 行，顶层符号 1，导入语句 5。
111	backend	code	reviewed-dead-code-cleaned	edited	backend/app/repositories/coding_files_repository.py	第九轮复核：移除零引用无效导入 AsyncSession。
112	backend	code	reviewed-dead-code-cleaned	edited	backend/app/repositories/coding_repository.py	第九轮复核：移除零引用无效导入 AsyncSession。
113	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/repositories/conversation_repository.py	已逐文件读取并完成首轮复核；py 文件 101 行，顶层符号 2，导入语句 5。
114	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/repositories/embedding_config_repository.py	已逐文件读取并完成首轮复核；py 文件 58 行，顶层符号 1，导入语句 4。
115	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/repositories/llm_config_repository.py	已逐文件读取并完成首轮复核；py 文件 59 行，顶层符号 1，导入语句 4。
116	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/repositories/manga_prompt_repository.py	已逐文件读取并完成首轮复核；py 文件 429 行，顶层符号 1，导入语句 5。
117	backend	code	reviewed-dead-code-cleaned	edited	backend/app/repositories/novel_repository.py	第四十五轮复核：移除零引用无效导入 `load_only`；当前文件实际使用的是 `selectinload(...).load_only()` 链式方法。
118	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/repositories/part_outline_repository.py	已逐文件读取并完成首轮复核；py 文件 61 行，顶层符号 1，导入语句 4。
119	backend	code	reviewed-dead-code-cleaned	edited	backend/app/repositories/prompt_repository.py	第九轮复核：移除零引用无效导入 AsyncSession。
120	backend	code	reviewed-dead-code-cleaned	edited	backend/app/repositories/protagonist_repository.py	第十二轮复核：移除零引用无效导入 Any、AsyncSession。
121	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/repositories/theme_config_repository.py	已逐文件读取并完成首轮复核；py 文件 93 行，顶层符号 1，导入语句 4。
122	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/repositories/user_repository.py	已逐文件读取并完成首轮复核；py 文件 91 行，顶层符号 1，导入语句 4。
123	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/schemas/__init__.py	已逐文件读取并完成首轮复核；py 文件 0 行，顶层符号 0，导入语句 0。
124	backend	code	reviewed-dead-code-cleaned	edited	backend/app/schemas/character_portrait.py	移除零引用基础模型 CharacterPortraitBase。
125	backend	code	reviewed-dead-code-cleaned	edited	backend/app/schemas/coding.py	移除零引用对话/UI/请求响应模型共 8 项。
126	backend	code	reviewed-dead-code-cleaned	edited	backend/app/schemas/coding_files.py	移除零引用目录/文件状态与请求响应模型共 7 项。
127	backend	code	reviewed-dead-code-removed	deleted	backend/app/schemas/config.py	整文件零引用，已删除。
128	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/schemas/config_runtime_status.py	已逐文件读取并完成首轮复核；py 文件 25 行，顶层符号 1，导入语句 3。
129	backend	code	reviewed-dead-code-cleaned	edited	backend/app/schemas/embedding_config.py	第九轮复核：移除零引用无效导入 datetime。
130	backend	code	reviewed-dead-code-cleaned	edited	backend/app/schemas/llm_config.py	移除零引用导入请求模型 LLMConfigImportRequest，以及零引用请求模型 LLMConfigTestRequest；第九轮继续移除零引用无效导入 HttpUrl、datetime。
131	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/schemas/model_download.py	已逐文件读取并完成首轮复核；py 文件 29 行，顶层符号 1，导入语句 2。
132	backend	code	reviewed-dead-code-cleaned	edited	backend/app/schemas/novel.py	移除零引用 PartKeyEvent、PartConflict、ChapterGenerationResponse、GenerateOutlineRequest。
133	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/schemas/project_workflow.py	已逐文件读取并完成首轮复核；py 文件 85 行，顶层符号 5，导入语句 2。
134	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/schemas/prompt.py	已逐文件读取并完成首轮复核；py 文件 64 行，顶层符号 4，导入语句 2。
135	backend	code	reviewed-dead-code-cleaned	edited	backend/app/schemas/protagonist.py	移除零引用枚举 ClassificationResult，以及零引用查询模型 ChangeHistoryQuery、BehaviorRecordQuery、DeletionMarkQuery、ImplicitStatsQuery。
136	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/schemas/queue.py	已逐文件读取并完成首轮复核；py 文件 42 行，顶层符号 4，导入语句 2。
137	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/schemas/schema_utils.py	已逐文件读取并完成首轮复核；py 文件 17 行，顶层符号 1，导入语句 2。
138	backend	code	reviewed-dead-code-cleaned	edited	backend/app/schemas/theme_config.py	移除零引用主题分组 schema 共 11 项。
139	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/schemas/user.py	已逐文件读取并完成首轮复核；py 文件 19 行，顶层符号 1，导入语句 3。
140	backend	code	reviewed-dead-code-cleaned	edited	backend/app/serializers/__init__.py	第三十七轮复核：确认无任何包级导入点，移除零包级引用的 NovelSerializer 聚合导出并保留精简包入口。
141	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/serializers/coding_files_serializer.py	已逐文件读取并完成首轮复核；py 文件 62 行，顶层符号 2，导入语句 2。
142	backend	code	reviewed-dead-code-cleaned	edited	backend/app/serializers/coding_serializer.py	第十三轮复核：移除零引用无效导入 CodingBlueprintModel、Dict、List、json。
143	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/serializers/novel_serializer.py	已逐文件读取并完成首轮复核；py 文件 439 行，顶层符号 1，导入语句 6。
144	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/serializers/part_outline_serializer.py	已逐文件读取并完成首轮复核；py 文件 30 行，顶层符号 1，导入语句 3。
145	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/__init__.py	已逐文件读取并完成首轮复核；py 文件 0 行，顶层符号 0，导入语句 0。
146	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/agent_tool_executor_base.py	已逐文件读取并完成首轮复核；py 文件 102 行，顶层符号 1，导入语句 4。
147	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/avatar_service.py	第九轮复核：移除零引用无效导入 Tuple。
148	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/blueprint_base.py	已逐文件读取并完成首轮复核；py 文件 118 行，顶层符号 1，导入语句 5。
149	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/blueprint_service.py	第九轮复核：移除零引用无效导入 json。
150	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/chapter_analysis_service.py	已逐文件读取并完成首轮复核；py 文件 250 行，顶层符号 1，导入语句 8。
151	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/chapter_context_service.py	已逐文件读取并完成首轮复核；py 文件 454 行，顶层符号 4，导入语句 12。
152	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/chapter_evaluation_service.py	第十四轮复核：移除零引用无效导入 settings、LLMConstants、ChapterOutline、TYPE_CHECKING、LLMService、VectorStoreService。
153	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/chapter_generation/__init__.py	第十七轮复核：同步移除已失效导入/导出 get_chapter_prompt_builder、get_version_processor。第四十五轮复核：仅保留包级入口 `ChapterGenerationService`、`ChapterGenerationWorkflow`，移除 `ChapterGenerationContext`、`ChapterGenerationResult`、`ChapterPromptBuilder`、`ChapterVersionProcessor` 4 个零包级引用导出。
154	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/chapter_generation/context.py	第十三轮复核：移除零引用无效导入 TYPE_CHECKING、BlueprintInfo、ChapterRAGContext、EnhancedRAGContext。
155	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/chapter_generation/prompt_builder.py	第十七轮复核：在已移除无效导入 json 的基础上，继续删除零调用模块级单例 _default_builder 与工厂函数 get_chapter_prompt_builder()。
156	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/chapter_generation/service.py	第十三轮复核：移除零引用无效导入 TYPE_CHECKING、Union、unwrap_markdown_json、BlueprintInfo、ChapterRAGContext、EnhancedRAGContext、VectorStoreService。
157	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/chapter_generation/version_processor.py	第十七轮复核：移除零调用模块级单例 _default_processor 与工厂函数 get_version_processor()。
158	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/chapter_generation/workflow.py	第十轮复核：移除零引用无效导入 TYPE_CHECKING、AsyncSession、LLMService。
159	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/chapter_ingest_service.py	已逐文件读取并完成首轮复核；py 文件 426 行，顶层符号 2，导入语句 9。
160	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/chapter_version_service.py	第十轮复核：移除零引用无效导入 TYPE_CHECKING、LLMService。第十六轮同步清理陈旧注释，移除对已删除 normalize_version_content() 的过期引用。
161	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/character_portrait_service.py	移除零引用无效导入 CharacterPortraitResponse；第十轮继续移除零引用无效导入 ImageConfigService、base64、hashlib、httpx。
162	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/coding/__init__.py	第二十六轮复核：移除失效包级导出 CodingBlueprintService，保留真实入口 CodingProjectService。
163	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/coding/blueprint_service.py	已逐文件读取并完成首轮复核；py 文件 233 行，顶层符号 1，导入语句 10。
164	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/coding/project_service.py	已逐文件读取并完成首轮复核；py 文件 271 行，顶层符号 1，导入语句 12。
